合约名称,时间,最新成交价,开仓价格,平仓价格
SPY250613P00599000,2025-06-13 09:32:12,0.56,,
SPY250613P00600000,2025-06-13 09:32:12,0.71,,
SPY250613P00599000,2025-06-13 09:32:13,0.56,,
SPY250613P00600000,2025-06-13 09:32:13,0.71,,
SPY250613P00599000,2025-06-13 09:32:16,0.56,,
SPY250613P00600000,2025-06-13 09:32:16,0.71,,
SPY250613P00599000,2025-06-13 09:32:17,0.56,,
SPY250613P00600000,2025-06-13 09:32:17,0.71,,
SPY250613P00600000,2025-06-13 09:32:20,0.71,,1.71
SPY250613P00599000,2025-06-13 09:32:21,0.56,,
SPY250613P00600000,2025-06-13 09:32:21,0.71,,
SPY250613P00599000,2025-06-13 09:32:22,0.56,,
SPY250613P00600000,2025-06-13 09:32:22,0.71,,
SPY250613P00601000,2025-06-13 09:32:24,0.91,2.22,
SPY250613P00599000,2025-06-13 09:32:25,0.56,,
SPY250613P00600000,2025-06-13 09:32:25,0.71,,
SPY250613P00601000,2025-06-13 09:32:25,0.91,,
SPY250613P00599000,2025-06-13 09:32:27,0.56,,
SPY250613P00600000,2025-06-13 09:32:27,0.71,,
SPY250613P00601000,2025-06-13 09:32:27,0.91,,
SPY250613P00599000,2025-06-13 09:32:29,0.56,,
SPY250613P00600000,2025-06-13 09:32:29,0.71,,
SPY250613P00601000,2025-06-13 09:32:29,0.91,,
SPY250613P00599000,2025-06-13 09:32:31,0.56,,
SPY250613P00600000,2025-06-13 09:32:31,0.71,,
SPY250613P00601000,2025-06-13 09:32:31,0.91,,
SPY250613P00599000,2025-06-13 09:32:34,0.56,,
SPY250613P00600000,2025-06-13 09:32:34,0.71,,
SPY250613P00601000,2025-06-13 09:32:34,0.91,,
SPY250613P00599000,2025-06-13 09:32:35,0.56,,
SPY250613P00600000,2025-06-13 09:32:35,0.71,,
SPY250613P00601000,2025-06-13 09:32:35,0.91,,
SPY250613P00599000,2025-06-13 09:32:38,0.56,,
SPY250613P00600000,2025-06-13 09:32:38,0.71,,
SPY250613P00601000,2025-06-13 09:32:38,0.91,,
SPY250613P00599000,2025-06-13 09:32:39,0.56,,
SPY250613P00600000,2025-06-13 09:32:39,0.71,,
SPY250613P00601000,2025-06-13 09:32:39,0.91,,
SPY250613P00599000,2025-06-13 09:32:42,0.56,,
SPY250613P00600000,2025-06-13 09:32:42,0.71,,
SPY250613P00601000,2025-06-13 09:32:42,0.91,,
SPY250613P00599000,2025-06-13 09:32:44,0.56,,
SPY250613P00600000,2025-06-13 09:32:44,0.71,,
SPY250613P00601000,2025-06-13 09:32:44,0.91,,
SPY250613P00599000,2025-06-13 09:32:46,0.56,,
SPY250613P00600000,2025-06-13 09:32:46,0.71,,
SPY250613P00601000,2025-06-13 09:32:46,0.91,,
SPY250613P00599000,2025-06-13 09:32:48,0.56,,
SPY250613P00600000,2025-06-13 09:32:48,0.71,,
SPY250613P00601000,2025-06-13 09:32:48,0.91,,
SPY250613P00599000,2025-06-13 09:32:50,0.56,,
SPY250613P00600000,2025-06-13 09:32:50,0.71,,
SPY250613P00601000,2025-06-13 09:32:50,0.91,,
SPY250613P00599000,2025-06-13 09:32:52,0.56,,
SPY250613P00600000,2025-06-13 09:32:52,0.71,,
SPY250613P00601000,2025-06-13 09:32:52,0.91,,
SPY250613P00599000,2025-06-13 09:32:55,0.56,,
SPY250613P00600000,2025-06-13 09:32:55,0.71,,
SPY250613P00601000,2025-06-13 09:32:55,0.91,,
SPY250613P00599000,2025-06-13 09:32:56,0.56,,
SPY250613P00600000,2025-06-13 09:32:56,0.71,,
SPY250613P00601000,2025-06-13 09:32:56,0.91,,
SPY250613P00599000,2025-06-13 09:32:59,0.56,,
SPY250613P00600000,2025-06-13 09:32:59,0.71,,
SPY250613P00601000,2025-06-13 09:32:59,0.91,,
SPY250613P00599000,2025-06-13 09:33:00,0.56,,
SPY250613P00600000,2025-06-13 09:33:00,0.71,,
SPY250613P00601000,2025-06-13 09:33:00,0.91,,
SPY250613P00599000,2025-06-13 09:33:03,0.56,,
SPY250613P00600000,2025-06-13 09:33:03,0.71,,
SPY250613P00601000,2025-06-13 09:33:03,0.91,,
SPY250613P00599000,2025-06-13 09:33:04,0.56,,
SPY250613P00600000,2025-06-13 09:33:04,0.71,,
SPY250613P00601000,2025-06-13 09:33:04,0.91,,
SPY250613P00599000,2025-06-13 09:33:07,0.56,,
SPY250613P00600000,2025-06-13 09:33:07,0.71,,
SPY250613P00601000,2025-06-13 09:33:07,0.91,,
SPY250613P00599000,2025-06-13 09:33:08,0.56,,
SPY250613P00600000,2025-06-13 09:33:08,0.71,,
SPY250613P00601000,2025-06-13 09:33:08,0.91,,
SPY250613P00599000,2025-06-13 09:33:11,0.56,,
SPY250613P00600000,2025-06-13 09:33:11,0.71,,
SPY250613P00601000,2025-06-13 09:33:11,0.91,,
SPY250613P00599000,2025-06-13 09:33:13,0.56,,
SPY250613P00600000,2025-06-13 09:33:13,0.71,,
SPY250613P00601000,2025-06-13 09:33:13,0.91,,
SPY250613P00599000,2025-06-13 09:33:15,0.56,,
SPY250613P00600000,2025-06-13 09:33:15,0.71,,
SPY250613P00601000,2025-06-13 09:33:15,0.91,,
SPY250613P00599000,2025-06-13 09:33:17,0.56,,
SPY250613P00600000,2025-06-13 09:33:17,0.71,,
SPY250613P00601000,2025-06-13 09:33:17,0.91,,
SPY250613P00599000,2025-06-13 09:33:20,0.56,,
SPY250613P00600000,2025-06-13 09:33:20,0.71,,
SPY250613P00601000,2025-06-13 09:33:20,0.91,,
SPY250613P00599000,2025-06-13 09:33:21,0.56,,
SPY250613P00600000,2025-06-13 09:33:21,0.71,,
SPY250613P00601000,2025-06-13 09:33:21,0.91,,
SPY250613P00599000,2025-06-13 09:33:24,0.56,,
SPY250613P00600000,2025-06-13 09:33:24,0.71,,
SPY250613P00601000,2025-06-13 09:33:24,0.91,,
SPY250613P00599000,2025-06-13 09:33:25,0.56,,
SPY250613P00600000,2025-06-13 09:33:25,0.71,,
SPY250613P00601000,2025-06-13 09:33:25,0.91,,
SPY250613P00599000,2025-06-13 09:33:28,0.56,,
SPY250613P00600000,2025-06-13 09:33:28,0.71,,
SPY250613P00601000,2025-06-13 09:33:28,0.91,,
SPY250613P00599000,2025-06-13 09:33:30,0.56,,
SPY250613P00600000,2025-06-13 09:33:30,0.71,,
SPY250613P00601000,2025-06-13 09:33:30,0.91,,
SPY250613P00599000,2025-06-13 09:33:33,0.56,,
SPY250613P00600000,2025-06-13 09:33:33,0.71,,
SPY250613P00601000,2025-06-13 09:33:33,0.91,,
SPY250613P00599000,2025-06-13 09:33:34,0.56,,
SPY250613P00600000,2025-06-13 09:33:34,0.71,,
SPY250613P00601000,2025-06-13 09:33:34,0.91,,
SPY250613P00599000,2025-06-13 09:33:37,0.56,,
SPY250613P00600000,2025-06-13 09:33:37,0.71,,
SPY250613P00601000,2025-06-13 09:33:37,0.91,,
SPY250613P00599000,2025-06-13 09:33:39,0.56,,
SPY250613P00600000,2025-06-13 09:33:39,0.71,,
SPY250613P00601000,2025-06-13 09:33:39,0.91,,
SPY250613P00599000,2025-06-13 09:33:41,0.56,,
SPY250613P00600000,2025-06-13 09:33:41,0.71,,
SPY250613P00601000,2025-06-13 09:33:41,0.91,,
SPY250613P00599000,2025-06-13 09:33:43,0.56,,
SPY250613P00600000,2025-06-13 09:33:43,0.71,,
SPY250613P00601000,2025-06-13 09:33:43,0.91,,
SPY250613P00599000,2025-06-13 09:33:45,0.56,,
SPY250613P00600000,2025-06-13 09:33:45,0.71,,
SPY250613P00601000,2025-06-13 09:33:45,0.91,,
SPY250613P00599000,2025-06-13 09:33:47,0.56,,
SPY250613P00600000,2025-06-13 09:33:47,0.71,,
SPY250613P00601000,2025-06-13 09:33:47,0.91,,
SPY250613P00599000,2025-06-13 09:33:50,0.56,,
SPY250613P00600000,2025-06-13 09:33:50,0.71,,
SPY250613P00601000,2025-06-13 09:33:50,0.91,,
SPY250613P00599000,2025-06-13 09:33:51,0.56,,
SPY250613P00600000,2025-06-13 09:33:51,0.71,,
SPY250613P00601000,2025-06-13 09:33:51,0.91,,
SPY250613P00599000,2025-06-13 09:33:54,0.56,,
SPY250613P00600000,2025-06-13 09:33:54,0.71,,
SPY250613P00601000,2025-06-13 09:33:54,0.91,,
SPY250613P00599000,2025-06-13 09:33:55,0.56,,
SPY250613P00600000,2025-06-13 09:33:55,0.71,,
SPY250613P00601000,2025-06-13 09:33:55,0.91,,
SPY250613P00599000,2025-06-13 09:33:58,0.56,,
SPY250613P00600000,2025-06-13 09:33:58,0.71,,
SPY250613P00601000,2025-06-13 09:33:58,0.91,,
SPY250613P00599000,2025-06-13 09:34:00,0.56,,
SPY250613P00600000,2025-06-13 09:34:00,0.71,,
SPY250613P00601000,2025-06-13 09:34:00,0.91,,
SPY250613P00599000,2025-06-13 09:34:02,0.56,,
SPY250613P00600000,2025-06-13 09:34:02,0.71,,
SPY250613P00601000,2025-06-13 09:34:02,0.91,,
SPY250613P00599000,2025-06-13 09:34:04,0.56,,
SPY250613P00600000,2025-06-13 09:34:04,0.71,,
SPY250613P00601000,2025-06-13 09:34:04,0.91,,
SPY250613P00599000,2025-06-13 09:34:06,0.56,,
SPY250613P00600000,2025-06-13 09:34:06,0.71,,
SPY250613P00601000,2025-06-13 09:34:06,0.91,,
SPY250613P00599000,2025-06-13 09:34:08,0.56,,
SPY250613P00600000,2025-06-13 09:34:08,0.71,,
SPY250613P00601000,2025-06-13 09:34:08,0.91,,
